phrase_index,start_sec,end_sec,duration_sec,transcript_text,original_diarization_speaker,casa_assigned_speaker,attribution_changed,decision_type,attribution_confidence,provisional_status,acoustic_score,temporal_score,linguistic_score,alternate_speaker,alternate_confidence,acoustic_evidence,temporal_evidence,linguistic_evidence,all_evidence
10,52.98,53.78,0.8,Fluency Builder.,Speaker 2,Speaker 2,False,UNCERTAIN,0.6906,False,0.7853,0.75,0.55,Speaker 1,0.6115,moderate acoustic similarity to Speaker 2 (sim=0.73) | local discontinuity: no neighbors match assigned speaker,expected turn transition from Speaker 1 | turn-boundary pause before (1.70s ≥ 0.4s),phrase type: STATEMENT | prev type: STATEMENT,moderate acoustic similarity to Speaker 2 (sim=0.73) | local discontinuity: no neighbors match assigned speaker | expected turn transition from Speaker 1 | turn-boundary pause before (1.70s ≥ 0.4s) | phrase type: STATEMENT | prev type: STATEMENT | decision: UNCERTAIN (confidence=0.69; original label preserved)
11,54.48,57.06,2.58,"So in today's dialogue, we heard Mr.",Speaker 3,Speaker 3,False,UNCERTAIN,0.6981,False,0.742,0.8,0.45,Speaker 1,0.5549,moderate acoustic similarity to Speaker 3 (sim=0.62) | forward continuity: next phrase also Speaker 3,expected turn transition from Speaker 2 | turn-boundary pause before (0.70s ≥ 0.4s),dialogue pattern: continuation from different speaker (less expected) | phrase type: CONTINUATION | prev type: STATEMENT,moderate acoustic similarity to Speaker 3 (sim=0.62) | expected turn transition from Speaker 2 | turn-boundary pause before (0.70s ≥ 0.4s) | forward continuity: next phrase also Speaker 3 | dialogue pattern: continuation from different speaker (less expected) | phrase type: CONTINUATION | prev type: STATEMENT | decision: UNCERTAIN (confidence=0.70; original label preserved)
12,57.36,61.7,4.34,Ford talk about some numbers. He's talking about growth and change in the market.,Speaker 3,Speaker 3,False,CONFIRM,0.7362,False,0.7523,0.85,0.55,Speaker 1,,moderate acoustic similarity to Speaker 3 (sim=0.63) | speaker continuity from previous turn (Speaker 3) | short pause before (0.30s) supports continuity | forward continuity: next phrase also Speaker 3,speaker continuity from previous turn (Speaker 3) | short pause before (0.30s) supports continuity,phrase type: STATEMENT | prev type: CONTINUATION,moderate acoustic similarity to Speaker 3 (sim=0.63) | speaker continuity from previous turn (Speaker 3) | short pause before (0.30s) supports continuity | forward continuity: next phrase also Speaker 3 | phrase type: STATEMENT | prev type: CONTINUATION | decision: CONFIRM (confidence=0.74 ≥ 0.7)
13,62.18,62.64,0.46,"And he says,",Speaker 3,Speaker 3,False,CONFIRM,0.7394,False,0.6679,0.72,0.82,Speaker 1,,moderate acoustic similarity to Speaker 3 (sim=0.53) | speaker continuity from previous turn (Speaker 3) | forward continuity: next phrase also Speaker 3,speaker continuity from previous turn (Speaker 3) | short phrase duration (0.46s) reduces temporal certainty,dialogue pattern: continuation from same speaker (expected) | phrase type: CONTINUATION | prev type: STATEMENT,moderate acoustic similarity to Speaker 3 (sim=0.53) | speaker continuity from previous turn (Speaker 3) | forward continuity: next phrase also Speaker 3 | short phrase duration (0.46s) reduces temporal certainty | dialogue pattern: continuation from same speaker (expected) | phrase type: CONTINUATION | prev type: STATEMENT | decision: CONFIRM (confidence=0.74 ≥ 0.7)
14,63.08,69.88,6.8,"with figures two around four to five percent, we've got an overall increase of one thousand percent.",Speaker 3,Speaker 3,False,CONFIRM,0.7414,False,0.807,0.75,0.55,Speaker 1,,moderate acoustic similarity to Speaker 3 (sim=0.64) | local continuity: 4/6 neighbors match | speaker continuity from previous turn (Speaker 3),speaker continuity from previous turn (Speaker 3),phrase type: STATEMENT | prev type: CONTINUATION,moderate acoustic similarity to Speaker 3 (sim=0.64) | local continuity: 4/6 neighbors match | speaker continuity from previous turn (Speaker 3) | phrase type: STATEMENT | prev type: CONTINUATION | decision: CONFIRM (confidence=0.74 ≥ 0.7)
15,70.2,70.74,0.54,That's right.,Speaker 1,Speaker 1,False,UNCERTAIN,0.5705,False,0.35,0.63,0.7,Speaker 3,0.6317,weak acoustic similarity to Speaker 1 (sim=0.30) | forward continuity: next phrase also Speaker 1,expected turn transition from Speaker 3 | short phrase duration (0.54s) reduces temporal certainty,dialogue pattern: acknowledgement of statement from different speaker | phrase type: AFFIRMATION | prev type: STATEMENT,weak acoustic similarity to Speaker 1 (sim=0.30) | expected turn transition from Speaker 3 | forward continuity: next phrase also Speaker 1 | short phrase duration (0.54s) reduces temporal certainty | dialogue pattern: acknowledgement of statement from different speaker | phrase type: AFFIRMATION | prev type: STATEMENT | decision: UNCERTAIN (confidence=0.57; original label preserved)
16,70.92,82.18,11.26,"So this phrase, an increase of very, very common when you're talking about growth of maybe revenue or when you're talking about the growth of a company or sales, for example.",Speaker 1,Speaker 1,False,UNCERTAIN,0.6675,False,0.6499,0.8,0.55,Speaker 3,0.5915,moderate acoustic similarity to Speaker 1 (sim=0.51) | speaker continuity from previous turn (Speaker 1) | short pause before (0.18s) supports continuity,speaker continuity from previous turn (Speaker 1) | short pause before (0.18s) supports continuity,dialogue pattern: following affirmation — neutral | phrase type: CONTINUATION | prev type: AFFIRMATION,moderate acoustic similarity to Speaker 1 (sim=0.51) | speaker continuity from previous turn (Speaker 1) | short pause before (0.18s) supports continuity | dialogue pattern: following affirmation — neutral | phrase type: CONTINUATION | prev type: AFFIRMATION | decision: UNCERTAIN (confidence=0.67; original label preserved)
17,82.56,85.5,2.94,So it's important to remember here that this is a fixed phrase.,Speaker 3,Speaker 3,False,UNCERTAIN,0.6606,False,0.6828,0.7,0.55,Speaker 2,0.5662,moderate acoustic similarity to Speaker 3 (sim=0.55) | forward continuity: next phrase also Speaker 3,expected turn transition from Speaker 1,phrase type: CONTINUATION | prev type: CONTINUATION,moderate acoustic similarity to Speaker 3 (sim=0.55) | expected turn transition from Speaker 1 | forward continuity: next phrase also Speaker 3 | phrase type: CONTINUATION | prev type: CONTINUATION | decision: UNCERTAIN (confidence=0.66; original label preserved)
18,85.8,91.12,5.32,We say an increase of 10 percent or an increase of 30 percent.,Speaker 3,Speaker 3,False,CONFIRM,0.7761,False,0.8248,0.85,0.55,Speaker 1,,moderate acoustic similarity to Speaker 3 (sim=0.72) | speaker continuity from previous turn (Speaker 3) | short pause before (0.30s) supports continuity | forward continuity: next phrase also Speaker 3,speaker continuity from previous turn (Speaker 3) | short pause before (0.30s) supports continuity,phrase type: STATEMENT | prev type: CONTINUATION,moderate acoustic similarity to Speaker 3 (sim=0.72) | speaker continuity from previous turn (Speaker 3) | short pause before (0.30s) supports continuity | forward continuity: next phrase also Speaker 3 | phrase type: STATEMENT | prev type: CONTINUATION | decision: CONFIRM (confidence=0.78 ≥ 0.7)
19,91.76,104.5,12.74,But you can use the same phrase with with drops in percentages or money. So you can say a decrease of 10 percent. That means that you go down 10 percent or a decrease of 100 percent.,Speaker 3,Speaker 3,False,CONFIRM,0.7859,False,0.7898,0.75,0.82,Speaker 1,,moderate acoustic similarity to Speaker 3 (sim=0.68) | speaker continuity from previous turn (Speaker 3),speaker continuity from previous turn (Speaker 3),dialogue pattern: continuation from same speaker (expected) | phrase type: CONTINUATION | prev type: STATEMENT,moderate acoustic similarity to Speaker 3 (sim=0.68) | speaker continuity from previous turn (Speaker 3) | dialogue pattern: continuation from same speaker (expected) | phrase type: CONTINUATION | prev type: STATEMENT | decision: CONFIRM (confidence=0.79 ≥ 0.7)
20,104.68,105.18,0.5,That's right.,Speaker 1,Speaker 1,False,UNCERTAIN,0.518,False,0.35,0.63,0.55,Speaker 3,0.6359,weak acoustic similarity to Speaker 1 (sim=0.36) | forward continuity: next phrase also Speaker 1,expected turn transition from Speaker 3 | short phrase duration (0.50s) reduces temporal certainty,phrase type: AFFIRMATION | prev type: CONTINUATION,weak acoustic similarity to Speaker 1 (sim=0.36) | expected turn transition from Speaker 3 | forward continuity: next phrase also Speaker 1 | short phrase duration (0.50s) reduces temporal certainty | phrase type: AFFIRMATION | prev type: CONTINUATION | decision: UNCERTAIN (confidence=0.52; original label preserved)
21,105.62,110.8,5.18,"So a very useful phrase when talking about incrementing someone or, as you said,",Speaker 1,Speaker 1,False,UNCERTAIN,0.53,False,0.4,0.8,0.55,Speaker 2,0.5636,weak acoustic similarity to Speaker 1 (sim=0.38) | local continuity: 4/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1,speaker continuity from previous turn (Speaker 1),dialogue pattern: following affirmation — neutral | phrase type: CONTINUATION | prev type: AFFIRMATION,weak acoustic similarity to Speaker 1 (sim=0.38) | local continuity: 4/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1 | dialogue pattern: following affirmation — neutral | phrase type: CONTINUATION | prev type: AFFIRMATION | decision: UNCERTAIN (confidence=0.53; original label preserved)
22,111.64,113.74,2.1,decreasing a decrease of five percent.,Speaker 1,Speaker 1,False,CONFIRM,0.7166,False,0.7394,0.8,0.55,Speaker 3,,moderate acoustic similarity to Speaker 1 (sim=0.56) | local continuity: 5/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1,speaker continuity from previous turn (Speaker 1),phrase type: STATEMENT | prev type: CONTINUATION,moderate acoustic similarity to Speaker 1 (sim=0.56) | local continuity: 5/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1 | phrase type: STATEMENT | prev type: CONTINUATION | decision: CONFIRM (confidence=0.72 ≥ 0.7)
23,114.2,118.48,4.28,"Now, Mr. Ford used a very interesting phrase when referring to the Chinese market.",Speaker 1,Speaker 1,False,CONFIRM,0.7014,False,0.7116,0.8,0.55,Speaker 3,,moderate acoustic similarity to Speaker 1 (sim=0.52) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1,speaker continuity from previous turn (Speaker 1),phrase type: STATEMENT | prev type: STATEMENT,moderate acoustic similarity to Speaker 1 (sim=0.52) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1 | phrase type: STATEMENT | prev type: STATEMENT | decision: CONFIRM (confidence=0.70 ≥ 0.7)
24,118.74,120.6,1.86,"Obviously, it's a very big market.",Speaker 1,Speaker 1,False,UNCERTAIN,0.6894,False,0.667,0.85,0.55,Speaker 3,0.5744,moderate acoustic similarity to Speaker 1 (sim=0.47) | local continuity: 5/6 neighbors match | speaker continuity from previous turn (Speaker 1) | short pause before (0.26s) supports continuity | forward continuity: next phrase also Speaker 1,speaker continuity from previous turn (Speaker 1) | short pause before (0.26s) supports continuity,phrase type: STATEMENT | prev type: STATEMENT,moderate acoustic similarity to Speaker 1 (sim=0.47) | local continuity: 5/6 neighbors match | speaker continuity from previous turn (Speaker 1) | short pause before (0.26s) supports continuity | forward continuity: next phrase also Speaker 1 | phrase type: STATEMENT | prev type: STATEMENT | decision: UNCERTAIN (confidence=0.69; original label preserved)
25,121.6,125.2,3.6,And he says that the computer ownership stands at around 60 million.,Speaker 1,Speaker 1,False,UNCERTAIN,0.584,False,0.4,0.8,0.82,Speaker 3,0.6018,weak acoustic similarity to Speaker 1 (sim=0.43) | local continuity: 4/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1,speaker continuity from previous turn (Speaker 1),dialogue pattern: continuation from same speaker (expected) | phrase type: CONTINUATION | prev type: STATEMENT,weak acoustic similarity to Speaker 1 (sim=0.43) | local continuity: 4/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1 | dialogue pattern: continuation from same speaker (expected) | phrase type: CONTINUATION | prev type: STATEMENT | decision: UNCERTAIN (confidence=0.58; original label preserved)
26,125.96,131.62,5.66,"But of course, 60 million is just a drop in the ocean if you compare it to the population of China.",Speaker 1,Speaker 1,False,CONFIRM,0.7059,False,0.7426,0.75,0.55,Speaker 3,,moderate acoustic similarity to Speaker 1 (sim=0.56) | local continuity: 4/6 neighbors match | speaker continuity from previous turn (Speaker 1),speaker continuity from previous turn (Speaker 1),phrase type: CONTINUATION | prev type: CONTINUATION,moderate acoustic similarity to Speaker 1 (sim=0.56) | local continuity: 4/6 neighbors match | speaker continuity from previous turn (Speaker 1) | phrase type: CONTINUATION | prev type: CONTINUATION | decision: CONFIRM (confidence=0.71 ≥ 0.7)
27,131.92,132.22,0.3,That's right.,Speaker 3,Speaker 3,False,UNCERTAIN,0.518,False,0.35,0.63,0.55,Speaker 1,0.6275,weak acoustic similarity to Speaker 3 (sim=0.32) | forward continuity: next phrase also Speaker 3,expected turn transition from Speaker 1 | short phrase duration (0.30s) reduces temporal certainty,phrase type: AFFIRMATION | prev type: CONTINUATION,weak acoustic similarity to Speaker 3 (sim=0.32) | expected turn transition from Speaker 1 | forward continuity: next phrase also Speaker 3 | short phrase duration (0.30s) reduces temporal certainty | phrase type: AFFIRMATION | prev type: CONTINUATION | decision: UNCERTAIN (confidence=0.52; original label preserved)
28,132.44,135.76,3.32,So what does this mean? It's a big percentage or a small percentage.,Speaker 3,Speaker 3,False,UNCERTAIN,0.6523,False,0.6224,0.8,0.55,Speaker 1,0.5485,moderate acoustic similarity to Speaker 3 (sim=0.48) | speaker continuity from previous turn (Speaker 3) | short pause before (0.22s) supports continuity,speaker continuity from previous turn (Speaker 3) | short pause before (0.22s) supports continuity,dialogue pattern: following affirmation — neutral | phrase type: CONTINUATION | prev type: AFFIRMATION,moderate acoustic similarity to Speaker 3 (sim=0.48) | speaker continuity from previous turn (Speaker 3) | short pause before (0.22s) supports continuity | dialogue pattern: following affirmation — neutral | phrase type: CONTINUATION | prev type: AFFIRMATION | decision: UNCERTAIN (confidence=0.65; original label preserved)
29,136.14,136.82,0.68,"Very, very small.",Speaker 1,Speaker 1,False,UNCERTAIN,0.5023,False,0.35,0.585,0.55,Speaker 3,0.622,weak acoustic similarity to Speaker 1 (sim=0.30),expected turn transition from Speaker 3 | short phrase duration (0.68s) reduces temporal certainty,phrase type: STATEMENT | prev type: CONTINUATION,weak acoustic similarity to Speaker 1 (sim=0.30) | expected turn transition from Speaker 3 | short phrase duration (0.68s) reduces temporal certainty | phrase type: STATEMENT | prev type: CONTINUATION | decision: UNCERTAIN (confidence=0.50; original label preserved)
30,137.32,141.92,4.6,So what he's saying here is it's like a drop of water in an ocean.,Speaker 3,Speaker 3,False,CONFIRM,0.7342,False,0.8076,0.8,0.45,Speaker 1,,moderate acoustic similarity to Speaker 3 (sim=0.64) | local continuity: 5/6 neighbors match | forward continuity: next phrase also Speaker 3,expected turn transition from Speaker 1 | turn-boundary pause before (0.50s ≥ 0.4s),dialogue pattern: continuation from different speaker (less expected) | phrase type: CONTINUATION | prev type: STATEMENT,moderate acoustic similarity to Speaker 3 (sim=0.64) | local continuity: 5/6 neighbors match | expected turn transition from Speaker 1 | turn-boundary pause before (0.50s ≥ 0.4s) | forward continuity: next phrase also Speaker 3 | dialogue pattern: continuation from different speaker (less expected) | phrase type: CONTINUATION | prev type: STATEMENT | decision: CONFIRM (confidence=0.73 ≥ 0.7)
31,142.2,148.24,6.04,"So a drop of water is so small, you don't even notice it. You don't even see it because the ocean is so big.",Speaker 3,Speaker 3,False,CONFIRM,0.7508,False,0.7786,0.85,0.55,Speaker 1,,moderate acoustic similarity to Speaker 3 (sim=0.60) | local continuity: 5/6 neighbors match | speaker continuity from previous turn (Speaker 3) | short pause before (0.28s) supports continuity | forward continuity: next phrase also Speaker 3,speaker continuity from previous turn (Speaker 3) | short pause before (0.28s) supports continuity,phrase type: CONTINUATION | prev type: CONTINUATION,moderate acoustic similarity to Speaker 3 (sim=0.60) | local continuity: 5/6 neighbors match | speaker continuity from previous turn (Speaker 3) | short pause before (0.28s) supports continuity | forward continuity: next phrase also Speaker 3 | phrase type: CONTINUATION | prev type: CONTINUATION | decision: CONFIRM (confidence=0.75 ≥ 0.7)
32,148.4,150.48,2.08,"And so you can use this in many different ways. You can say, hey,",Speaker 3,Speaker 3,False,CONFIRM,0.7956,False,0.8601,0.85,0.55,Speaker 1,,moderate acoustic similarity to Speaker 3 (sim=0.70) | local continuity: 5/6 neighbors match | speaker continuity from previous turn (Speaker 3) | short pause before (0.16s) supports continuity | forward continuity: next phrase also Speaker 3,speaker continuity from previous turn (Speaker 3) | short pause before (0.16s) supports continuity,phrase type: CONTINUATION | prev type: CONTINUATION,moderate acoustic similarity to Speaker 3 (sim=0.70) | local continuity: 5/6 neighbors match | speaker continuity from previous turn (Speaker 3) | short pause before (0.16s) supports continuity | forward continuity: next phrase also Speaker 3 | phrase type: CONTINUATION | prev type: CONTINUATION | decision: CONFIRM (confidence=0.80 ≥ 0.7)
33,151.14,153.98,2.84,"you know, $5 is just a drop in the ocean.",Speaker 3,Speaker 3,False,CONFIRM,0.7782,False,0.8513,0.8,0.55,Speaker 1,,moderate acoustic similarity to Speaker 3 (sim=0.69) | local continuity: 5/6 neighbors match | speaker continuity from previous turn (Speaker 3) | forward continuity: next phrase also Speaker 3,speaker continuity from previous turn (Speaker 3),phrase type: CONTINUATION | prev type: CONTINUATION,moderate acoustic similarity to Speaker 3 (sim=0.69) | local continuity: 5/6 neighbors match | speaker continuity from previous turn (Speaker 3) | forward continuity: next phrase also Speaker 3 | phrase type: CONTINUATION | prev type: CONTINUATION | decision: CONFIRM (confidence=0.78 ≥ 0.7)
34,154.42,154.5,0.08,Right.,Speaker 3,Speaker 3,False,UNCERTAIN,0.6578,False,0.7109,0.72,0.55,Speaker 1,0.5885,moderate acoustic similarity to Speaker 3 (sim=0.52) | local continuity: 4/6 neighbors match | speaker continuity from previous turn (Speaker 3) | forward continuity: next phrase also Speaker 3,speaker continuity from previous turn (Speaker 3) | short phrase duration (0.08s) reduces temporal certainty,phrase type: AFFIRMATION | prev type: CONTINUATION,moderate acoustic similarity to Speaker 3 (sim=0.52) | local continuity: 4/6 neighbors match | speaker continuity from previous turn (Speaker 3) | forward continuity: next phrase also Speaker 3 | short phrase duration (0.08s) reduces temporal certainty | phrase type: AFFIRMATION | prev type: CONTINUATION | decision: UNCERTAIN (confidence=0.66; original label preserved)
35,154.66,158.12,3.46,It's not really important because it's very little money. That's right. That's right.,Speaker 3,Speaker 3,False,CONFIRM,0.7404,False,0.7825,0.8,0.55,Speaker 1,,moderate acoustic similarity to Speaker 3 (sim=0.67) | speaker continuity from previous turn (Speaker 3) | short pause before (0.16s) supports continuity,speaker continuity from previous turn (Speaker 3) | short pause before (0.16s) supports continuity,dialogue pattern: following affirmation — neutral | phrase type: STATEMENT | prev type: AFFIRMATION,moderate acoustic similarity to Speaker 3 (sim=0.67) | speaker continuity from previous turn (Speaker 3) | short pause before (0.16s) supports continuity | dialogue pattern: following affirmation — neutral | phrase type: STATEMENT | prev type: AFFIRMATION | decision: CONFIRM (confidence=0.74 ≥ 0.7)
36,158.38,160.86,2.48,"So it's sort of like a metaphor saying, you know what?",Speaker 1,Speaker 1,False,UNCERTAIN,0.6083,False,0.6242,0.7,0.45,Speaker 3,0.5947,moderate acoustic similarity to Speaker 1 (sim=0.48) | forward continuity: next phrase also Speaker 1,expected turn transition from Speaker 3,dialogue pattern: continuation from different speaker (less expected) | phrase type: CONTINUATION | prev type: STATEMENT,moderate acoustic similarity to Speaker 1 (sim=0.48) | expected turn transition from Speaker 3 | forward continuity: next phrase also Speaker 1 | dialogue pattern: continuation from different speaker (less expected) | phrase type: CONTINUATION | prev type: STATEMENT | decision: UNCERTAIN (confidence=0.61; original label preserved)
37,161.1,162.44,1.34,It's very insignificant.,Speaker 1,Speaker 1,False,UNCERTAIN,0.595,False,0.35,0.85,0.55,Speaker 3,0.5928,weak acoustic similarity to Speaker 1 (sim=0.44) | speaker continuity from previous turn (Speaker 1) | short pause before (0.24s) supports continuity | forward continuity: next phrase also Speaker 1,speaker continuity from previous turn (Speaker 1) | short pause before (0.24s) supports continuity,phrase type: STATEMENT | prev type: CONTINUATION,weak acoustic similarity to Speaker 1 (sim=0.44) | speaker continuity from previous turn (Speaker 1) | short pause before (0.24s) supports continuity | forward continuity: next phrase also Speaker 1 | phrase type: STATEMENT | prev type: CONTINUATION | decision: UNCERTAIN (confidence=0.59; original label preserved)
